SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10,1,INE08PH01015,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
ABINFRA,A B Infrabuild Limited,BE,08-NOV-2024,1,1,INE00YB01025,1
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10
ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
ABMKNO,ABM Knowledgeware Limited,EQ,20-APR-2026,5,1,INE850B01026,5
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,BE,11-DEC-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
ACGL,Automobile Corporation of Goa Limited,EQ,17-AUG-2026,10,1,INE451C01013,10
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2
ACSTECH,ACS Technologies Limited,BE,20-APR-2026,10,1,INE366C01021,10
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
